articulo;palabra;silaba_tonica;campo_semantico;color_campo;color_fondo;ejemplo;gramapop;combo1_estructura;combo1_ejemplo;combo2_estructura;combo2_ejemplo;combo3_estructura;combo3_ejemplo;EN;FR;PT;AL;PL;NL;GR;TR;CZ
la;BIBLIOTECA;bi-blio-TE-ca;ESTABLECIMIENTOS;#8B3A62;#EAA095;Voy a la biblioteca a estudiar.;la/una biblioteca | las/unas bibliotecas | Femenino;ir a + el/la + [establecimiento];Voy a la biblioteca a estudiar.;el/la + [establecimiento] + es + [adjetivo descriptivo];La biblioteca es grande.;estar en + el/la + [establecimiento];Estoy en la biblioteca.;LIBRARY;BIBLIOTHÈQUE;BIBLIOTECA;BIBLIOTHEK;BIBLIOTEKA;BIBLIOTHEEK;ΒΙΒΛΙΟΘΗΚΗ;KÜTÜPHANE;KNIHOVNA
la;BOLERA;bo-LE-ra;ESTABLECIMIENTOS;#8B3A62;#EAA095;Voy a la bolera con mis amigos.;la/una bolera | las/unas boleras | Femenino;estar en + el/la + [establecimiento];Estoy en la bolera con mis amigos.;ir a + el/la + [establecimiento];Voy a la bolera el sábado.;el/la + [establecimiento] + es + [adjetivo descriptivo];La bolera es pequeña.;BOWLING ALLEY;BOWLING;BOLICHE;BOWLINGBAHN;KRĘGIELNIA;BOWLINGCENTRUM;ΜΠΟΟΥΛΙΝΓΚ;BOWLING SALONU;BOWLING
la;CAFETERÍA;ca-fe-te-RÍ-a;ESTABLECIMIENTOS;#8B3A62;#EAA095;Hay una cafetería en mi calle.;la/una cafetería | las/unas cafeterías | Femenino;hay + un/una + [establecimiento] + en + [lugar];Hay una cafetería en mi barrio.;estar en + el/la + [establecimiento];Estoy en la cafetería con María.;ir a + el/la + [establecimiento];Voy a la cafetería por las tardes.;CAFÉ;CAFÉTÉRIA;CAFETERIA;CAFETERIA;KAWIARNIA;CAFETARIA;ΚΑΦΕΤΕΡΙΑ;KAFETERYA;KAVÁRNA
el;CAMPO DE FÚTBOL;CAM-po de FÚT-bol;ESTABLECIMIENTOS;#8B3A62;#95CDEA;El campo de fútbol es grande.;el/un campo de fútbol | los/unos campos de fútbol | Masculino;el/la + [establecimiento] + es + [adjetivo descriptivo];El campo de fútbol es grande.;estar en + el/la + [establecimiento];Estoy en el campo de fútbol.;ir a + el/la + [establecimiento];Voy al campo de fútbol los sábados.;FOOTBALL FIELD;TERRAIN DE FOOT;CAMPO DE FUTEBOL;FUSSBALLPLATZ;BOISKO PIŁKARSKIE;VOETBALVELD;ΓΗΠΕΔΟ ΠΟΔΟΣΦΑΙΡΟΥ;FUTBOL SAHASI;FOTBALOVÉ HŘIŠTĚ
el;CENTRO CULTURAL;CEN-tro cul-tu-RAL;ESTABLECIMIENTOS;#8B3A62;#95CDEA;Voy al centro cultural los viernes.;el/un centro cultural | los/unos centros culturales | Masculino;ir a + el/la + [establecimiento];Voy al centro cultural los viernes.;hay + un/una + [establecimiento] + en + [lugar];Hay un centro cultural cerca de mi casa.;el/la + [establecimiento] + es + [adjetivo descriptivo];El centro cultural es nuevo.;CULTURAL CENTRE;CENTRE CULTUREL;CENTRO CULTURAL;KULTURZENTRUM;CENTRUM KULTURY;CULTUREEL CENTRUM;ΠΟΛΙΤΙΣΤΙΚΟ ΚΕΝΤΡΟ;KÜLTÜR MERKEZİ;KULTURNÍ CENTRUM
el;CINE;CI-ne;ESTABLECIMIENTOS;#8B3A62;#95CDEA;Estoy en el cine con mis amigos.;el/un cine | los/unos cines | Masculino;estar en + el/la + [establecimiento];Estoy en el cine con mis amigos.;hay + un/una + [establecimiento] + en + [lugar];Hay un cine en mi barrio.;ir a + el/la + [establecimiento];Voy al cine los fines de semana.;CINEMA;CINÉMA;CINEMA;KINO;KINO;BIOSCOOP;ΣΙΝΕΜΑ;SİNEMA;KINO
el;CIRCO;CIR-co;ESTABLECIMIENTOS;#8B3A62;#95CDEA;Voy al circo con mi familia.;el/un circo | los/unos circos | Masculino;el/la + [establecimiento] + es + [adjetivo descriptivo];El circo es grande.;ir a + el/la + [establecimiento];Voy al circo con mi familia.;hay + un/una + [establecimiento] + en + [lugar];Hay un circo en la plaza.;CIRCUS;CIRQUE;CIRCO;ZIRKUS;CYRK;CIRCUS;ΤΣΙΡΚΟ;SİRK;CIRKUS
el;GIMNASIO;gim-NA-sio;ESTABLECIMIENTOS;#8B3A62;#95CDEA;Voy al gimnasio por las tardes.;el/un gimnasio | los/unos gimnasios | Masculino;ir a + el/la + [establecimiento];Voy al gimnasio por las tardes.;estar en + el/la + [establecimiento];Estoy en el gimnasio.;el/la + [establecimiento] + es + [adjetivo descriptivo];El gimnasio es nuevo.;GYM;GYMNASE;GINÁSIO;FITNESSSTUDIO;SIŁOWNIA;SPORTSCHOOL;ΓΥΜΝΑΣΤΗΡΙΟ;SPOR SALONU;POSILOVNA
el;PARQUE;PAR-que;ESTABLECIMIENTOS;#8B3A62;#95CDEA;Hay un parque cerca de mi casa.;el/un parque | los/unos parques | Masculino;hay + un/una + [establecimiento] + en + [lugar];Hay un parque cerca de mi casa.;estar en + el/la + [establecimiento];Estoy en el parque con mis amigos.;ir a + el/la + [establecimiento];Voy al parque los domingos.;PARK;PARC;PARQUE;PARK;PARK;PARK;ΠΑΡΚΟ;PARK;PARK
el;RESTAURANTE;res-tau-RAN-te;ESTABLECIMIENTOS;#8B3A62;#95CDEA;Estoy en un restaurante italiano.;el/un restaurante | los/unos restaurantes | Masculino;estar en + el/la + [establecimiento];Estoy en un restaurante italiano.;ir a + el/la + [establecimiento];Voy al restaurante con mi familia.;el/la + [establecimiento] + es + [adjetivo descriptivo];El restaurante es nuevo.;RESTAURANT;RESTAURANT;RESTAURANTE;RESTAURANT;RESTAURACJA;RESTAURANT;ΕΣΤΙΑΤΟΡΙΟ;RESTORAN;RESTAURACE
